,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_l_price
0,141013,221900.0,3.0,1.0,1180,5650,1.0,0,0,3,7,1180,0.0,1955,141013,98178,47.5112,-122.257,1340,5650,188.05
1,141209,538000.0,3.0,2.25,2570,7242,2.0,0,0,3,7,2170,400.0,1951,141209,98125,47.721000000000004,-122.319,1690,7639,209.34
2,150225,180000.0,2.0,1.0,770,10000,1.0,0,0,3,6,770,0.0,1933,150225,98028,47.7379,-122.23299999999999,2720,8062,233.77
3,141209,604000.0,4.0,3.0,1960,5000,1.0,0,0,5,7,1050,910.0,1965,141209,98136,47.5208,-122.39299999999999,1360,5000,308.16
4,150218,510000.0,3.0,2.0,1680,8080,1.0,0,0,3,8,1680,0.0,1987,150218,98074,47.6168,-122.045,1800,7503,303.57
5,140512,1230000.0,4.0,4.5,5420,101930,1.0,0,0,3,11,3890,1530.0,2001,140512,98053,47.6561,-122.005,4760,101930,226.94
6,140627,257500.0,3.0,2.25,1715,6819,2.0,0,0,3,7,1715,0.0,1995,140627,98003,47.3097,-122.32700000000001,2238,6819,150.15
7,150115,291850.0,3.0,1.5,1060,9711,1.0,0,0,3,7,1060,0.0,1963,150115,98198,47.4095,-122.315,1650,9711,275.33
8,150415,229500.0,3.0,1.0,1780,7470,1.0,0,0,3,7,1050,730.0,1960,150415,98146,47.5123,-122.337,1780,8113,128.93
9,150312,323000.0,3.0,2.5,1890,6560,2.0,0,0,3,7,1890,0.0,2003,150312,98038,47.3684,-122.031,2390,7570,170.9
10,150403,662500.0,3.0,2.5,3560,9796,1.0,0,0,3,8,1860,1700.0,1965,150403,98007,47.6007,-122.145,2210,8925,186.1
11,140527,468000.0,2.0,1.0,1160,6000,1.0,0,0,4,7,860,300.0,1942,140527,98115,47.69,-122.292,1330,6000,403.45
12,140528,310000.0,3.0,1.0,1430,19901,1.5,0,0,4,7,1430,0.0,1927,140528,98028,47.7558,-122.229,1780,12697,216.78
13,141007,400000.0,3.0,1.75,1370,9680,1.0,0,0,4,7,1370,0.0,1977,141007,98074,47.6127,-122.045,1370,10208,291.97
14,150312,530000.0,5.0,2.0,1810,4850,1.5,0,0,3,7,1810,0.0,1900,150312,98107,47.67,-122.39399999999999,1360,4850,292.82
15,150124,650000.0,4.0,3.0,2950,5000,2.0,0,3,3,9,1980,970.0,1979,150124,98126,47.5714,-122.375,2140,4000,220.34
16,140731,395000.0,3.0,2.0,1890,14040,2.0,0,0,3,7,1890,0.0,1994,140731,98019,47.7277,-121.962,1890,14018,208.99
17,140529,485000.0,4.0,1.0,1600,4300,1.5,0,0,4,7,1600,0.0,1916,140529,98103,47.6648,-122.34299999999999,1610,4300,303.12
